Title,Views,Likes
정국 'standing next to you' mv,145191085,4295199
doja cat - paint the town red,272278024,2898974
dua lipa - dance the night,182041426,1686584
"kygo, ava max - whatever",38671931,416747
ariana grande - the boy is mine,31767193,320228
childish gambino - lithonia,3401881,103861
katy perry - woman’s world,15085560,433803
olivia rodrigo - obsessed,18929651,559852
jack harlow - lovin on me,143273531,1318231
peezy - all black trucks,526956,9482
addison rae - diet pepsi,3300840,99015
kenya grace - strangers,82423905,958498
dua lipa - illusion,45942322,553677
madison beer - 15 minutes,5010898,156199
david guetta & kim petras - when we were young,26674572,238227
justin timberlake - selfish,40730104,411942
jade - angel of my dreams,7435259,239608
post malone - i had some help,89331121,809899
"ariana grande - yes, and?",83292004,1879269
lauv - potential,3398567,43410
post malone ft. blake shelton - pour me a drink,22082021,302265
lisa - rockstar,177482986,5957985
bebe rexha- i'm the drama,1661788,52801
mitski - my love mine all mine,54643319,1041717
"gracie abrams - i love you, i’m sorry",5766156,203584
dua lipa - training season,48129723,571516
"pharrell williams, miley cyrus - doctor",23071645,434386
kehlani - after hours,15410290,270832
madison beer - make you mine,47931215,977569
coldplay - feelslikeimfallinginlove,22493981,209727
tate mcrae - greedy,150504368,1360269
dasha - austin,33426315,189705
teddy swims - lose control,170182929,1683577
yg marley - praise jah in the moonlight,12189546,334129
taylor swift - i can do it with a broken heart,15630241,857343
"the weeknd, madonna, playboi carti - popular",56562975,1134375
"stray kids ""lose my breath "" m/v",48228736,1427748
billie eilish - chihiro,41342924,1131522
dua lipa - houdini,159239283,1349812
kendrick lamar - not like us,127773504,4642499
tommy richman - million dollar baby,19235307,294657
tyla - water,229121376,2002939
sevdaliza - alibi ft. pabllo vittar & yseult,98440147,1784641
djo - end of beginning,30293844,353141
benson boone - slow it down,36752817,370535
sabrina carpenter - espresso,159907111,2027589
imagine dragons - eyes closed,35598080,623227
charli xcx - guess featuring billie eilish,24328300,817737
kylie minogue - my oh my,4086153,121953
ariana grande - we can't be friends,157515474,2574029
jordan adetunji - kehlani remix,18041916,287717
taylor swift - fortnight,106474405,1948203
"clean bandit, anne-marie, david guetta – cry baby",4273790,136737
miley cyrus - flowers,852643178,8176208
shawn mendes - why why why,8118116,395350
benson boone - beautiful things,284170222,3259007
sabrina carpenter - please please please,98520016,1857172
katy perry - lifetimes,5493229,198966
"lady gaga, bruno mars - die with a smile",57022527,1975316
shawn mendes - why why why,8118116,395350
upahaar - swoopna suman,8370965,130787
*nsync - bye bye bye,418162888,2660627
hozier - too sweet,70776963,783080
attack on titan season 4 ending,1078373,20482
pink floyd – time,10199360,130040
