Title,Views,Likes
정국 (Jung Kook) 'Standing Next to You' Official MV,145191085,4295199
Doja Cat - Paint The Town Red (Official Video),272278024,2898974
Dua Lipa - Dance The Night (From Barbie The Album) [Official Music Video],182041426,1686584
"Kygo, Ava Max - Whatever (Official Video)",38671931,416747
Ariana Grande - the boy is mine (lyric visualizer),31767193,320228
Childish Gambino - Lithonia (Official Music Video),3401881,103861
Katy Perry - WOMAN’S WORLD (Official Video),15085560,433803
Olivia Rodrigo - obsessed (Official Music Video),18929651,559852
Jack Harlow - Lovin On Me [Official Music Video],143273531,1318231
Peezy - All Black Trucks (Official Video),526956,9482
Addison Rae - Diet Pepsi (Official Video),3300840,99015
Kenya Grace - Strangers (Official Lyric Video),82423905,958498
Dua Lipa - Illusion (Official Music Video),45942322,553677
Madison Beer - 15 MINUTES (Official Music Video),5010898,156199
David Guetta & Kim Petras - When We Were Young (The Logical Song) [Official Video],26674572,238227
Justin Timberlake - Selfish (Official Video),40730104,411942
JADE - Angel Of My Dreams (Official Video),7435259,239608
Post Malone - I Had Some Help (feat. Morgan Wallen) (Official Video),89331121,809899
"Ariana Grande - yes, and? (official music video)",83292004,1879269
Lauv - Potential [Official Video],3398567,43410
Post Malone ft. Blake Shelton - Pour Me A Drink (Official Video),22082021,302265
LISA - ROCKSTAR (Official Music Video),177482986,5957985
Bebe Rexha- I'm The Drama (Official Music Video),1661788,52801
Mitski - My Love Mine All Mine (Official Video),54643319,1041717
"Gracie Abrams - I Love You, I’m Sorry (Official Music Video)",5766156,203584
Dua Lipa - Training Season (Official Music Video),48129723,571516
"Pharrell Williams, Miley Cyrus - Doctor (Work It Out) (Official Video)",23071645,434386
Kehlani - After Hours [Official Music Video],15410290,270832
Madison Beer - Make You Mine (Official Music Video),47931215,977569
Coldplay - feelslikeimfallinginlove (Official Video),22493981,209727
Tate McRae - greedy (Official Video),150504368,1360269
Dasha - Austin (Official Music Video),33426315,189705
Teddy Swims - Lose Control (Live),170182929,1683577
YG Marley - Praise Jah In The Moonlight (Official Music Video),12189546,334129
Taylor Swift - I Can Do It With A Broken Heart (Official Video),15630241,857343
"The Weeknd, Madonna, Playboi Carti - Popular (Official Music Video)",56562975,1134375
"Stray Kids ""Lose My Breath (Feat. Charlie Puth)"" M/V",48228736,1427748
Billie Eilish - CHIHIRO (Official Music Video),41342924,1131522
Dua Lipa - Houdini (Official Music Video),159239283,1349812
Kendrick Lamar - Not Like Us,127773504,4642499
Tommy Richman - MILLION DOLLAR BABY (Official Music Video),19235307,294657
Tyla - Water (Official Music Video),229121376,2002939
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),98440147,1784641
Djo - End of Beginning (Official Lyric Video),30293844,353141
Benson Boone - Slow It Down (Official Music Video),36752817,370535
Sabrina Carpenter - Espresso (Official Video),159907111,2027589
Imagine Dragons - Eyes Closed (Official Music Video),35598080,623227
Charli xcx - Guess featuring Billie Eilish (official video),24328300,817737
Kylie Minogue - My Oh My (with Bebe Rexha & Tove Lo) (Official Video),4086153,121953
Ariana Grande - we can't be friends (wait for your love) (official music video),157515474,2574029
Jordan Adetunji - KEHLANI REMIX (feat. Kehlani) [Official Video],18041916,287717
Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),106474405,1948203
"Clean Bandit, Anne-Marie, David Guetta – Cry Baby (Official Video)",4273790,136737
Miley Cyrus - Flowers (Official Video),852643178,8176208
Shawn Mendes - Why Why Why (Official Music Video),8118116,395350
Benson Boone - Beautiful Things (Official Music Video),284170222,3259007
Sabrina Carpenter - Please Please Please (Official Video),98520016,1857172
Katy Perry - LIFETIMES (Official Video),5493229,198966
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",57022527,1975316
Shawn Mendes - Why Why Why (Official Music Video),8118116,395350
Upahaar - Swoopna Suman (Official M/V),8370965,130787
*NSYNC - Bye Bye Bye (Official Video from Deadpool and Wolverine),418162888,2660627
Hozier - Too Sweet (Official Lyric Video),70776963,783080
Attack on Titan Season 4 Ending (with lyrics),1078373,20482
Pink Floyd – Time (Official Audio),10199360,130040
Vinland Saga Ending 2 Full『milet - Drown』【with Lyrics】,4106508,52427
Beat It - Michael Jackson (Lyrics),9567744,86297
Eurythmics - Sweet Dreams (Lyrics),28210843,287956
Green Day - Boulevard of Broken Dreams (Lyrics),28510236,341829
Mitski - My Love Mine All Mine (Official Video),54643319,1041717
Laufey - From The Start (Official Music Video),34806276,774025
EL KANKA - QUE BELLO ES VIVIR (versión acústica),8918974,51911
Oasis - Don't Look Back In Anger (Official Video),299153493,1627207
Arctic Monkeys - Do I Wanna Know? (Lyrics),6314745,69282
The Weeknd - I Feel It Coming ft. Daft Punk (Official Video),1234645385,5875136
The Heart of Life - John Mayer,580187,6150
Mazzy Star - Fade Into You (Official Music Video),99888285,944046
Look On Down From The Bridge,8060330,132604
Kali Uchis - Melting (Lyrics),7741200,72677
Ap Dhillon - With You (Lyrics),5413096,70109
tere bina - Zaeden | ft. Amyra Dastur | Kunaal Vermaa | VYRLOriginals | Romantic Songs 2019,26528464,333206
Evanescence - Bring Me To Life (Lyrics),1672700,15015
Deftones - My Own Summer (Shove It) - Lyrics,1457364,17066
When I Come Around - Green Day (LYRICS),1937244,13149
System of a down - Toxicity - Lyrics,22473888,183068
Bon Jovi - You give love a bad name - lyrics,70843916,403549
Metallica whisky in the jar lyrics,5134180,22333
Brett Young - In Case You Didn't Know (Official Music Video),704393358,3351856
Bless The Broken Road,37156774,362546
You Make It Easy,72182877,663705
Dido - Thank You (Official Video),395074809,3147842
Sushant KC - Sarangi (Official Music Video),56441710,622960
Oasis Thapa - Bhikhaari,42776459,258509
Santana Right Now(Beyond Appearances),134316,2896
Libianca - People (Official Video),318871203,2616403
Alexi Murdoch - Home,430154,3152
Madonna - Material Girl (Lyrics) Cause we are living in a material world,300155,4019
Florence + The Machine - Dog Days Are Over (Lyrics),8805445,110235
Radiohead - Creep,1058137141,6225399
Sleep On The Floor || The Lumineers Lyrics,1054585,14273
The Walters - I Love You So,16113797,452193
Riruru & Pippo ‌‌‍「AMV」[Japanese /Hindi /Remix],2556285,78890
【Official】Uru 『紙一重』 TVアニメ「地獄楽」エンディングテーマ,8015475,65674
The Weeknd - Starboy (Lyrics) ft. Daft Punk,65543766,593466
"Your Name opening ""Dream Lantern"" extended",8277716,89483
Kimi no Na wa (Your Name) - Ending song,6824134,93729
Dororo - Ending 2 Full『Yamiyo』by Eve,2992910,46091
Dororo Ending Full『amazarashi - Sayonaragokko』【ENG Sub】,14789614,138857
Dororo Opening Full『Ziyoou-vachi - Kaen』,32670667,313299
OneRepublic - I Ain't Worried (Lyrics),19909426,176932
The Weeknd - The Hills,2140223782,12816928
"The Weeknd, Ariana Grande - Die For You (Remix / Lyric Video)",311491017,2119472
The Weeknd - Out of Time (Official Video),125987690,1765530
The Weeknd - Save Your Tears (Official Music Video),1666557590,9566343
The Weeknd - Reminder (Official Video),546900812,3499363
The Weeknd - DIE FOR YOU (Lyrics),36571870,297362
The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video),318253994,3742459
The Weeknd - Blinding Lights (Lyrics),135637273,1332080
The Weeknd - Acquainted (Lyrics),1680388,13309
Red Hot Chili Peppers - Snow (Hey Oh),72168281,262277
Stephen Sanchez - Until I Found You (Lyrics),98111118,1187434
Eminem - Till I Collapse (Motivation video) 2021,61962324,640638
Celine Dion - My Heart Will Go On  (HD),12481005,150959
James Blunt - You're Beautiful (Official Music Video) [4K],818546448,4979339
Sean Hayes - Garden,419953,3039
Eminem - Lose Yourself (Lyrics),94587589,902902
Survivor - Eye Of The Tiger (Lyrics),18641558,157992
Queen – Bohemian Rhapsody (Official Video Remastered),1822281099,12786297
Hideyoshi - Majinahanashi（Official Video）,10783019,342310
