Title,Views,Likes
nicki minaj & ice spice – barbie world,152662879,2064627
taylor swift - anti-hero,208967371,3503405
burna boy - city boys,75923517,480464
"rema, selena gomez - calm down",963632354,8285311
billie eilish - what was i made for?,167309451,2910306
tu hai kahan,24296900,865483
aur - tu hai kahan - raffey - usama - ahad,220033616,3748777
"chris brown - sensational ft. davido, lojay",92794743,773091
illit ‘magnetic’ mv,151724386,1797396
beyoncé - texas hold 'em,22879657,208070
lil west - going down,75597,760
tyla - breathe me,3513391,118980
"the kid laroi, jung kook, central cee - too much",44869480,1730828
troye sivan - got me started,21174200,296839
"jessie murph, jelly roll - wild ones",59689539,374502
olivia rodrigo - vampire,122392324,2091372
정국 '3d ' mv,189639051,4677811
teddy swims - bad dreams,3565454,127900
house of protection - pulling teeth,257477,15881
"katy perry - i'm his, he's mine ft. doechii",1949537,137483
tate mcrae - it's ok i'm ok,6421866,264113
n3wyrkla - mind now,113583,920
the weeknd - dancing in the flames,41560460,413570
selena gomez - love on,21371195,537373
doja cat - agora hills,53101060,1035686
olivia rodrigo - bad idea right?,42148365,894843
"lay, lauv - run back to you",10148496,198956
"the weeknd, jennie, lily-rose depp - one of the girls",152627080,1917444
정국 'standing next to you' mv,147082114,4313078
doja cat - paint the town red,275643823,2915449
dua lipa - dance the night,182844158,1690515
"kygo, ava max - whatever",39504999,420266
ariana grande - the boy is mine,33176233,324772
childish gambino - lithonia,3506437,106835
katy perry - woman’s world,15597670,439104
olivia rodrigo - obsessed,19374061,563286
jack harlow - lovin on me,145323901,1327794
peezy - all black trucks,934740,11602
addison rae - diet pepsi,4165436,119238
kenya grace - strangers,83620926,965720
dua lipa - illusion,47371648,558713
madison beer - 15 minutes,5242552,158857
david guetta & kim petras - when we were young,27009103,239714
justin timberlake - selfish,41299384,413947
jade - angel of my dreams,7851791,242921
post malone - i had some help,94888376,833885
"ariana grande - yes, and?",84177814,1882673
lauv - potential,3447224,43721
post malone ft. blake shelton - pour me a drink,23262010,308887
lisa - rockstar,185225405,6009422
bebe rexha- i'm the drama,2037372,54842
mitski - my love mine all mine,55376683,1051395
"gracie abrams - i love you, i’m sorry",6521127,216519
dua lipa - training season,49253944,576065
"pharrell williams, miley cyrus - doctor",23297470,435352
kehlani - after hours,16185423,276341
madison beer - make you mine,50084012,995373
coldplay - feelslikeimfallinginlove,23409393,216126
tate mcrae - greedy,153347741,1375186
dasha - austin,36055222,202145
teddy swims - lose control,175149058,1727601
yg marley - praise jah in the moonlight,12371655,335503
taylor swift - i can do it with a broken heart,17193333,870643
"the weeknd, madonna, playboi carti - popular",57877730,1147414
"stray kids ""lose my breath "" m/v",49096945,1434579
billie eilish - chihiro,44518836,1169141
dua lipa - houdini,161756584,1358604
kendrick lamar - not like us,135839254,4714873
tommy richman - million dollar baby,21511424,317761
tyla - water,233015797,2024684
sevdaliza - alibi ft. pabllo vittar & yseult,108586425,1886871
djo - end of beginning,30914015,358241
