Title,Video ID,Artist,Song
ariana grande - we can't be friends,kntjgqkc-wi,ariana grande,we can't be friends
jordan adetunji - kehlani remix,eej8n5pxfge,jordan adetunji,kehlani remix
taylor swift - fortnight,q3zqjs7jucq,taylor swift,fortnight
"clean bandit, anne-marie, david guetta – cry baby",p6ogpkqb-ha,"clean bandit, anne","marie, david guetta – cry baby"
miley cyrus - flowers,g7knmw9a75y,miley cyrus,flowers
shawn mendes - why why why,0m1ucyrzatm,shawn mendes,why why why
benson boone - beautiful things,oa_rswwppaa,benson boone,beautiful things
sabrina carpenter - please please please,cf1na4aiecm,sabrina carpenter,please please please
katy perry - lifetimes,vrksjkgkhbe,katy perry,lifetimes
"lady gaga, bruno mars - die with a smile",kpa7bskwl-c,"lady gaga, bruno mars",die with a smile
shawn mendes - why why why,0m1ucyrzatm,shawn mendes,why why why
upahaar - swoopna suman,4wixoekdbsi,upahaar,swoopna suman
*nsync - bye bye bye,eo-kmod3i7s,*nsync,bye bye bye
hozier - too sweet,aezstcbhopq,hozier,too sweet
attack on titan season 4 ending,aa6hslbaqaw,unknown,attack on titan season 4 ending
pink floyd – time,qr0-7ds79zo,pink floyd,pink floyd – time
vinland saga ending 2 full『milet - drown』【with 】,quxbo4_prb0,vinland saga ending 2 full『milet,drown』【with 】
beat it - michael jackson,8fo8jvz3t9g,beat it,michael jackson
eurythmics - sweet dreams,bg9z-atg7gc,eurythmics,sweet dreams
green day - boulevard of broken dreams,51xzw98wedg,green day,boulevard of broken dreams
mitski - my love mine all mine,vx4klgnfexo,mitski,my love mine all mine
laufey - from the start,lsd_l-xic9o,laufey,from the start
el kanka - que bello es vivir,57cr9w-deb8,el kanka,que bello es vivir
oasis - don't look back in anger,r8oipmkfdem,oasis,don't look back in anger
arctic monkeys - do i wanna know?,pul2mvdt3xo,arctic monkeys,do i wanna know?
the weeknd - i feel it coming ft. daft punk,qflhgq0060w,the weeknd,i feel it coming ft. daft punk
the heart of life - john mayer,asazxyw_zgk,the heart of life,john mayer
