Title,Views,Likes
ariana grande - we can't be friends,156714434,2570497
jordan adetunji - kehlani remix,17366307,282758
taylor swift - fortnight,106140393,1947121
"clean bandit, anne-marie, david guetta – cry baby",4166103,134957
miley cyrus - flowers,851743164,8173335
shawn mendes - why why why,7978627,393925
benson boone - beautiful things,282765862,3249222
sabrina carpenter - please please please,97276263,1848410
katy perry - lifetimes,5391114,197848
"lady gaga, bruno mars - die with a smile",53371783,1906615
shawn mendes - why why why,7978627,393925
upahaar - swoopna suman,8353133,130736
*nsync - bye bye bye,416601464,2639094
hozier - too sweet,70414547,780884
attack on titan season 4 ending,1077560,20475
pink floyd – time,10173149,129809
vinland saga ending 2 full『milet - drown』【with 】,4104241,52416
beat it - michael jackson,9538854,86041
eurythmics - sweet dreams,28116665,287313
green day - boulevard of broken dreams,28471021,341569
mitski - my love mine all mine,54546753,1040472
laufey - from the start,34661166,771707
el kanka - que bello es vivir,8916688,51890
oasis - don't look back in anger,298963119,1625993
arctic monkeys - do i wanna know?,6299840,69095
the weeknd - i feel it coming ft. daft punk,1234198627,5873823
the heart of life - john mayer,579946,6149
mazzy star - fade into you,99800936,943066
look on down from the bridge,8048555,132464
kali uchis - melting,7709854,72502
ap dhillon - with you,5406332,70043
tere bina - zaeden | ft. amyra dastur | kunaal vermaa | vyrloriginals | romantic songs 2019,26519547,333158
evanescence - bring me to life,1670345,14999
deftones - my own summer -,1456302,17061
when i come around - green day,1936572,13146
system of a down - toxicity -,22473171,183076
bon jovi - you give love a bad name -,70838324,403514
metallica whisky in the jar,5133696,22331
brett young - in case you didn't know,704242234,3351233
bless the broken road,37127884,362299
you make it easy,72086660,663054
dido - thank you,394789580,3146336
sushant kc - sarangi,56334881,622611
oasis thapa - bhikhaari,42701571,258281
santana right now,134304,2896
libianca - people,318495806,2614862
alexi murdoch - home,430128,3150
madonna - material girl cause we are living in a material world,299753,4019
florence + the machine - dog days are over,8804008,110239
radiohead - creep,1057479425,6220983
sleep on the floor || the lumineers,1054122,14270
the walters - i love you so,16104734,452053
riruru & pippo ‌‌‍「amv」,2555361,78871
【】uru 『紙一重』 tvアニメ「地獄楽」エンディングテーマ,8006006,65637
the weeknd - starboy ft. daft punk,65505919,593194
"your name opening ""dream lantern"" extended",8276808,89477
kimi no na wa - ending song,6823414,93722
dororo - ending 2 full『yamiyo』by eve,2992380,46087
dororo ending full『amazarashi - sayonaragokko』【eng sub】,14788273,138856
dororo opening full『ziyoou-vachi - kaen』,32669005,313297
onerepublic - i ain't worried,19878424,176803
the weeknd - the hills,2139745967,12814860
"the weeknd, ariana grande - die for you",310709354,2117770
the weeknd - out of time,125888349,1764953
the weeknd - save your tears,1664934065,9561299
the weeknd - reminder,546602682,3498280
the weeknd - die for you,36533232,297201
the weeknd & ariana grande - save your tears,318111529,3741850
the weeknd - blinding lights,135567479,1331722
the weeknd - acquainted,1677520,13285
red hot chili peppers - snow,72167006,262270
stephen sanchez - until i found you,97964178,1186751
eminem - till i collapse 2021,61942794,640510
celine dion - my heart will go on,12478813,150941
james blunt - you're beautiful,818273287,4977713
sean hayes - garden,419938,3039
eminem - lose yourself,94518486,902609
survivor - eye of the tiger,18589648,157597
queen – bohemian rhapsody,1821571433,12782777
hideyoshi - majinahanashi（ ）,10779599,342272
lana del rey - summertime sadness,593761173,6432270
earned it - the weeknd 🎵,20862744,168734
"pitbull, afrojack - maldito alcohol",36479887,257940
zayn - still got time ft. partynextdoor,73753192,1023756
hai rama ye kya hua live by hariharan,17253829,269112
analyse audio song with from the prestige movie,10780,115
freddie dredd - limbo,10624580,129626
sajjan raj vaidya - dhairya,42259825,361741
mercedes benz - cobweb | tuborg open sessions,9102927,72089
bagaicha - ktaharu,4187708,58615
gerry rafferty - baker street,2033285,21833
"grailz beni - it's not so bad | "" it reminds me that it's not so bad """,3260472,80500
brodha v - aathma raama,11832954,0
sam smith - i'm not the only one,516743,5384
imagine dragons x j.i.d - enemy,404591542,5974402
imagine dragons - bones,333542340,3731846
"jasiah - crisis | and i'm swervin in the streets, ay get the f outta my way",1527951,27425
iraq lobster,65370,1987
mike posner - i took a pill in ibiza,1687430336,8557047
the weeknd - call out my name,974704739,6713690
passenger | let her go,3711162217,17151577
sathi - sushant kc,302898,9065
"john denver - take me home, country roads",16465172,146084
rockheads | ranga |,24025352,170271
