Title,Video ID,Artist,Song
Ariana Grande - we can't be friends (wait for your love) (official music video),KNtJGQkC-WI,Ariana Grande,we can't be friends (wait for your love) (official music video)
Jordan Adetunji - KEHLANI REMIX (feat. Kehlani) [Official Video],EeJ8n5PxFGE,Jordan Adetunji,KEHLANI REMIX (feat. Kehlani) [Official Video]
Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),q3zqJs7JUCQ,Taylor Swift,Fortnight (feat. Post Malone) (Official Music Video)
"Clean Bandit, Anne-Marie, David Guetta – Cry Baby (Official Video)",P6OgpKqb-HA,Unknown,"Clean Bandit, Anne-Marie, David Guetta – Cry Baby (Official Video)"
Miley Cyrus - Flowers (Official Video),G7KNmW9a75Y,Miley Cyrus,Flowers (Official Video)
Shawn Mendes - Why Why Why (Official Music Video),0M1UCYRZAtM,Shawn Mendes,Why Why Why (Official Music Video)
Benson Boone - Beautiful Things (Official Music Video),Oa_RSwwpPaA,Benson Boone,Beautiful Things (Official Music Video)
Sabrina Carpenter - Please Please Please (Official Video),cF1Na4AIecM,Sabrina Carpenter,Please Please Please (Official Video)
Katy Perry - LIFETIMES (Official Video),vRkSjkGkhbE,Katy Perry,LIFETIMES (Official Video)
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",kPa7bsKwL-c,"Lady Gaga, Bruno Mars",Die With A Smile (Official Music Video)
Shawn Mendes - Why Why Why (Official Music Video),0M1UCYRZAtM,Shawn Mendes,Why Why Why (Official Music Video)
Upahaar - Swoopna Suman (Official M/V),4wIXoekdbsI,Upahaar,Swoopna Suman (Official M/V)
*NSYNC - Bye Bye Bye (Official Video from Deadpool and Wolverine),Eo-KmOd3i7s,*NSYNC,Bye Bye Bye (Official Video from Deadpool and Wolverine)
Hozier - Too Sweet (Official Lyric Video),aezstCBHOPQ,Hozier,Too Sweet (Official Lyric Video)
Attack on Titan Season 4 Ending (with lyrics),Aa6hslBAQaw,Unknown,Attack on Titan Season 4 Ending (with lyrics)
Pink Floyd – Time (Official Audio),Qr0-7Ds79zo,Unknown,Pink Floyd – Time (Official Audio)
Vinland Saga Ending 2 Full『milet - Drown』【with Lyrics】,QuXBo4_prB0,Vinland Saga Ending 2 Full『milet,Drown』【with Lyrics】
Beat It - Michael Jackson (Lyrics),8fO8jVZ3T9g,Beat It,Michael Jackson (Lyrics)
Eurythmics - Sweet Dreams (Lyrics),bG9z-atG7gc,Eurythmics,Sweet Dreams (Lyrics)
Green Day - Boulevard of Broken Dreams (Lyrics),51XzW98wEDg,Green Day,Boulevard of Broken Dreams (Lyrics)
Mitski - My Love Mine All Mine (Official Video),vx4kLgnFexo,Mitski,My Love Mine All Mine (Official Video)
Laufey - From The Start (Official Music Video),lSD_L-xic9o,Laufey,From The Start (Official Music Video)
EL KANKA - QUE BELLO ES VIVIR (versión acústica),57Cr9W-dEb8,EL KANKA,QUE BELLO ES VIVIR (versión acústica)
Oasis - Don't Look Back In Anger (Official Video),r8OipmKFDeM,Oasis,Don't Look Back In Anger (Official Video)
Arctic Monkeys - Do I Wanna Know? (Lyrics),PUL2mVdt3xo,Arctic Monkeys,Do I Wanna Know? (Lyrics)
The Weeknd - I Feel It Coming ft. Daft Punk (Official Video),qFLhGq0060w,The Weeknd,I Feel It Coming ft. Daft Punk (Official Video)
The Heart of Life - John Mayer,AsAzxYW_ZGk,The Heart of Life,John Mayer
Mazzy Star - Fade Into You (Official Music Video),ImKY6TZEyrI,Mazzy Star,Fade Into You (Official Music Video)
Look On Down From The Bridge,p3NZn0mA_XI,Unknown,Look On Down From The Bridge
Kali Uchis - Melting (Lyrics),DhvbyEOq2u0,Kali Uchis,Melting (Lyrics)
Ap Dhillon - With You (Lyrics),fe9udc210tM,Ap Dhillon,With You (Lyrics)
tere bina - Zaeden | ft. Amyra Dastur | Kunaal Vermaa | VYRLOriginals | Romantic Songs 2019,UX2Xx4LIKSA,tere bina,Zaeden | ft. Amyra Dastur | Kunaal Vermaa | VYRLOriginals | Romantic Songs 2019
Evanescence - Bring Me To Life (Lyrics),s8ZXJ5QUYvQ,Evanescence,Bring Me To Life (Lyrics)
Deftones - My Own Summer (Shove It) - Lyrics,Mya37pvO0LM,Deftones,My Own Summer (Shove It) - Lyrics
When I Come Around - Green Day (LYRICS),6A0FkxTotmk,When I Come Around,Green Day (LYRICS)
System of a down - Toxicity - Lyrics,lAg6IZc_uuU,System of a down,Toxicity - Lyrics
Bon Jovi - You give love a bad name - lyrics,S9tKwSboJeg,Bon Jovi,You give love a bad name - lyrics
Metallica whisky in the jar lyrics,FKzIumyKhqQ,Unknown,Metallica whisky in the jar lyrics
