Title,Views,Likes
Ariana Grande - we can't be friends (wait for your love) (official music video),156718681,2570523
Jordan Adetunji - KEHLANI REMIX (feat. Kehlani) [Official Video],17368448,282777
Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),106141674,1947126
"Clean Bandit, Anne-Marie, David Guetta – Cry Baby (Official Video)",4166443,134966
Miley Cyrus - Flowers (Official Video),851745869,8173343
Shawn Mendes - Why Why Why (Official Music Video),7979109,393930
Benson Boone - Beautiful Things (Official Music Video),282770644,3249253
Sabrina Carpenter - Please Please Please (Official Video),97279313,1848445
Katy Perry - LIFETIMES (Official Video),5391536,197850
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",53389089,1906910
Shawn Mendes - Why Why Why (Official Music Video),7979109,393930
Upahaar - Swoopna Suman (Official M/V),8353258,130736
*NSYNC - Bye Bye Bye (Official Video from Deadpool and Wolverine),416608990,2639178
Hozier - Too Sweet (Official Lyric Video),70415958,780901
Attack on Titan Season 4 Ending (with lyrics),1077576,20475
Pink Floyd – Time (Official Audio),10173231,129812
Vinland Saga Ending 2 Full『milet - Drown』【with Lyrics】,4104246,52416
Beat It - Michael Jackson (Lyrics),9538901,86041
Eurythmics - Sweet Dreams (Lyrics),28116974,287314
Green Day - Boulevard of Broken Dreams (Lyrics),28471201,341573
Mitski - My Love Mine All Mine (Official Video),54547256,1040478
Laufey - From The Start (Official Music Video),34662000,771719
EL KANKA - QUE BELLO ES VIVIR (versión acústica),8916693,51890
Oasis - Don't Look Back In Anger (Official Video),298963961,1625998
Arctic Monkeys - Do I Wanna Know? (Lyrics),6299870,69096
The Weeknd - I Feel It Coming ft. Daft Punk (Official Video),1234200553,5873827
The Heart of Life - John Mayer,579946,6149
Mazzy Star - Fade Into You (Official Music Video),99801336,943072
Look On Down From The Bridge,8048567,132464
Kali Uchis - Melting (Lyrics),7709962,72502
Ap Dhillon - With You (Lyrics),5406358,70043
tere bina - Zaeden | ft. Amyra Dastur | Kunaal Vermaa | VYRLOriginals | Romantic Songs 2019,26519565,333158
Evanescence - Bring Me To Life (Lyrics),1670345,14999
Deftones - My Own Summer (Shove It) - Lyrics,1456306,17061
When I Come Around - Green Day (LYRICS),1936572,13146
System of a down - Toxicity - Lyrics,22473171,183076
Bon Jovi - You give love a bad name - lyrics,70838347,403514
Metallica whisky in the jar lyrics,5133696,22331
Brett Young - In Case You Didn't Know (Official Music Video),704242604,3351234
Bless The Broken Road,37128021,362301
You Make It Easy,72087078,663057
Dido - Thank You (Official Video),394790903,3146344
Sushant KC - Sarangi (Official Music Video),56335518,622613
Oasis Thapa - Bhikhaari,42702183,258281
Santana Right Now(Beyond Appearances),134304,2896
Libianca - People (Official Video),318497306,2614866
Alexi Murdoch - Home,430128,3150
Madonna - Material Girl (Lyrics) Cause we are living in a material world,299753,4019
Florence + The Machine - Dog Days Are Over (Lyrics),8804008,110239
Radiohead - Creep,1057482594,6220998
