Title,Views,Likes
Nicki Minaj & Ice Spice – Barbie World (with Aqua) [Official Music Video],152662879,2064627
Taylor Swift - Anti-Hero (Official Music Video),208967371,3503405
Burna Boy - City Boys [Official Music Video],75923517,480464
"Rema, Selena Gomez - Calm Down (Official Music Video)",963632354,8285311
Billie Eilish - What Was I Made For? (Official Music Video),167309451,2910306
Tu Hai Kahan (feat. ZAYN) (Official Music Video),24296900,865483
AUR - TU HAI KAHAN - Raffey - Usama - Ahad (Official Music Video),220033616,3748777
"Chris Brown - Sensational (Official Video) ft. Davido, Lojay",92794743,773091
ILLIT (아일릿) ‘Magnetic’ Official MV,151724386,1797396
Beyoncé - TEXAS HOLD 'EM (Official Lyric Video),22879657,208070
Lil West - Going Down,75597,760
Tyla - Breathe Me (Official Music Video),3513391,118980
"The Kid LAROI, Jung Kook, Central Cee - TOO MUCH (Official Video)",44869480,1730828
Troye Sivan - Got Me Started (Official Video),21174200,296839
"Jessie Murph, Jelly Roll - Wild Ones (Official Video)",59689539,374502
Olivia Rodrigo - vampire (Official Video),122392324,2091372
정국 (Jung Kook) '3D (feat. Jack Harlow)' Official MV,189639051,4677811
Teddy Swims - Bad Dreams (Official Music Video),3565454,127900
House of Protection - Pulling Teeth (Official Music Video),257477,15881
"Katy Perry - I'M HIS, HE'S MINE ft. Doechii",1949537,137483
Tate McRae - It's ok I'm ok (Official Video),6421866,264113
N3WYRKLA (feat. Skilla Baby) - mind now (Official Music Video),113583,920
The Weeknd - Dancing In The Flames (Official Music Video),41560460,413570
Selena Gomez - Love On (Official Music Video),21371195,537373
Doja Cat - Agora Hills (Official Video),53101060,1035686
Olivia Rodrigo - bad idea right? (Official Video),42148365,894843
"LAY, Lauv - Run Back To You (Official Music Video)",10148496,198956
"The Weeknd, JENNIE, Lily-Rose Depp - One Of The Girls (Official Video)",152627080,1917444
정국 (Jung Kook) 'Standing Next to You' Official MV,147082114,4313078
Doja Cat - Paint The Town Red (Official Video),275643823,2915449
Dua Lipa - Dance The Night (From Barbie The Album) [Official Music Video],182844158,1690515
"Kygo, Ava Max - Whatever (Official Video)",39504999,420266
Ariana Grande - the boy is mine (lyric visualizer),33176233,324772
Childish Gambino - Lithonia (Official Music Video),3506437,106835
Katy Perry - WOMAN’S WORLD (Official Video),15597670,439104
Olivia Rodrigo - obsessed (Official Music Video),19374061,563286
Jack Harlow - Lovin On Me [Official Music Video],145323901,1327794
Peezy - All Black Trucks (Official Video),934740,11602
Addison Rae - Diet Pepsi (Official Video),4165436,119238
Kenya Grace - Strangers (Official Lyric Video),83620926,965720
Dua Lipa - Illusion (Official Music Video),47371648,558713
Madison Beer - 15 MINUTES (Official Music Video),5242552,158857
David Guetta & Kim Petras - When We Were Young (The Logical Song) [Official Video],27009103,239714
Justin Timberlake - Selfish (Official Video),41299384,413947
JADE - Angel Of My Dreams (Official Video),7851791,242921
Post Malone - I Had Some Help (feat. Morgan Wallen) (Official Video),94888376,833885
"Ariana Grande - yes, and? (official music video)",84177814,1882673
Lauv - Potential [Official Video],3447224,43721
Post Malone ft. Blake Shelton - Pour Me A Drink (Official Video),23262010,308887
LISA - ROCKSTAR (Official Music Video),185225405,6009422
Bebe Rexha- I'm The Drama (Official Music Video),2037372,54842
Mitski - My Love Mine All Mine (Official Video),55376683,1051395
"Gracie Abrams - I Love You, I’m Sorry (Official Music Video)",6521127,216519
Dua Lipa - Training Season (Official Music Video),49253944,576065
"Pharrell Williams, Miley Cyrus - Doctor (Work It Out) (Official Video)",23297470,435352
Kehlani - After Hours [Official Music Video],16185423,276341
Madison Beer - Make You Mine (Official Music Video),50084012,995373
Coldplay - feelslikeimfallinginlove (Official Video),23409393,216126
Tate McRae - greedy (Official Video),153347741,1375186
Dasha - Austin (Official Music Video),36055222,202145
Teddy Swims - Lose Control (Live),175149058,1727601
YG Marley - Praise Jah In The Moonlight (Official Music Video),12371655,335503
Taylor Swift - I Can Do It With A Broken Heart (Official Video),17193333,870643
"The Weeknd, Madonna, Playboi Carti - Popular (Official Music Video)",57877730,1147414
"Stray Kids ""Lose My Breath (Feat. Charlie Puth)"" M/V",49096945,1434579
Billie Eilish - CHIHIRO (Official Music Video),44518836,1169141
Dua Lipa - Houdini (Official Music Video),161756584,1358604
Kendrick Lamar - Not Like Us,135839254,4714873
Tommy Richman - MILLION DOLLAR BABY (Official Music Video),21511424,317761
Tyla - Water (Official Music Video),233015797,2024684
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),108586425,1886871
Djo - End of Beginning (Official Lyric Video),30914015,358241
Benson Boone - Slow It Down (Official Music Video),37966815,378914
Sabrina Carpenter - Espresso (Official Video),170855242,2113550
Imagine Dragons - Eyes Closed (Official Music Video),36880935,630372
Charli xcx - Guess featuring Billie Eilish (official video),27095973,850611
Kylie Minogue - My Oh My (with Bebe Rexha & Tove Lo) (Official Video),4582387,126338
Ariana Grande - we can't be friends (wait for your love) (official music video),163004162,2600365
Jordan Adetunji - KEHLANI REMIX (feat. Kehlani) [Official Video],22305297,319805
Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),109568133,1966147
"Clean Bandit, Anne-Marie, David Guetta – Cry Baby (Official Video)",4924411,144484
Miley Cyrus - Flowers (Official Video),858516843,8197374
Shawn Mendes - Why Why Why (Official Music Video),9134774,405763
Benson Boone - Beautiful Things (Official Music Video),294617751,3331277
Sabrina Carpenter - Please Please Please (Official Video),106730653,1916185
Katy Perry - LIFETIMES (Official Video),6253644,210294
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",84715859,2404837
Shawn Mendes - Why Why Why (Official Music Video),9134774,405763
Upahaar - Swoopna Suman (Official M/V),8469285,131094
*NSYNC - Bye Bye Bye (Official Video from Deadpool and Wolverine),427851192,2771965
Hozier - Too Sweet (Official Lyric Video),73431997,799469
Attack on Titan Season 4 Ending (with lyrics),1084702,20570
Pink Floyd – Time (Official Audio),10378366,131606
Vinland Saga Ending 2 Full『milet - Drown』【with Lyrics】,4123282,52593
Beat It - Michael Jackson (Lyrics),9763097,87934
Eurythmics - Sweet Dreams (Lyrics),28918234,292602
Green Day - Boulevard of Broken Dreams (Lyrics),28772831,343539
Mitski - My Love Mine All Mine (Official Video),55376683,1051395
Laufey - From The Start (Official Music Video),35805591,789625
EL KANKA - QUE BELLO ES VIVIR (versión acústica),8934785,51993
Oasis - Don't Look Back In Anger (Official Video),300254803,1633715
Arctic Monkeys - Do I Wanna Know? (Lyrics),6422141,70352
The Weeknd - I Feel It Coming ft. Daft Punk (Official Video),1237895813,5885154
The Heart of Life - John Mayer,582112,6171
Mazzy Star - Fade Into You (Official Music Video),100562825,951351
Look On Down From The Bridge,8155979,133878
Kali Uchis - Melting (Lyrics),7925205,73774
Ap Dhillon - With You (Lyrics),5450906,70457
tere bina - Zaeden | ft. Amyra Dastur | Kunaal Vermaa | VYRLOriginals | Romantic Songs 2019,26592141,333530
Evanescence - Bring Me To Life (Lyrics),1691386,15173
Deftones - My Own Summer (Shove It) - Lyrics,1466090,17168
When I Come Around - Green Day (LYRICS),1941815,13180
System of a down - Toxicity - Lyrics,22478715,183069
Bon Jovi - You give love a bad name - lyrics,70901090,403877
Metallica whisky in the jar lyrics,5137442,22352
Brett Young - In Case You Didn't Know (Official Music Video),705413790,3356879
Bless The Broken Road,37420271,364630
You Make It Easy,72976529,668949
Dido - Thank You (Official Video),397034361,3158985
Sushant KC - Sarangi (Official Music Video),57094499,625307
Oasis Thapa - Bhikhaari,43261588,259962
Santana Right Now(Beyond Appearances),134433,2897
Libianca - People (Official Video),321336599,2627694
Alexi Murdoch - Home,430429,3165
Madonna - Material Girl (Lyrics) Cause we are living in a material world,303756,4048
Florence + The Machine - Dog Days Are Over (Lyrics),8816569,110291
Radiohead - Creep,1062766720,6257878
Sleep On The Floor || The Lumineers Lyrics,1058182,14310
The Walters - I Love You So,16170905,453285
Riruru & Pippo ‌‌‍「AMV」[Japanese /Hindi /Remix],2561817,79058
【Official】Uru 『紙一重』 TVアニメ「地獄楽」エンディングテーマ,8077075,65872
The Weeknd - Starboy (Lyrics) ft. Daft Punk,65800274,595428
"Your Name opening ""Dream Lantern"" extended",8285244,89531
Kimi no Na wa (Your Name) - Ending song,6829435,93785
Dororo - Ending 2 Full『Yamiyo』by Eve,2997303,46141
Dororo Ending Full『amazarashi - Sayonaragokko』【ENG Sub】,14799516,138920
Dororo Opening Full『Ziyoou-vachi - Kaen』,32682565,313367
OneRepublic - I Ain't Worried (Lyrics),20135921,178055
The Weeknd - The Hills,2143455417,12832263
"The Weeknd, Ariana Grande - Die For You (Remix / Lyric Video)",316725524,2131480
The Weeknd - Out of Time (Official Video),126711136,1769707
The Weeknd - Save Your Tears (Official Music Video),1677741654,9598676
The Weeknd - Reminder (Official Video),548907894,3507242
The Weeknd - DIE FOR YOU (Lyrics),36855819,298699
The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video),319140388,3746808
The Weeknd - Blinding Lights (Lyrics),136091784,1334406
The Weeknd - Acquainted (Lyrics),1702982,13500
Red Hot Chili Peppers - Snow (Hey Oh),72176768,262307
Stephen Sanchez - Until I Found You (Lyrics),99064711,1192185
Eminem - Till I Collapse (Motivation video) 2021,62104233,641549
Celine Dion - My Heart Will Go On  (HD),12496675,151075
James Blunt - You're Beautiful (Official Music Video) [4K],820398203,4990949
Sean Hayes - Garden,420076,3040
Eminem - Lose Yourself (Lyrics),95068081,905596
Survivor - Eye Of The Tiger (Lyrics),19027393,160935
Queen – Bohemian Rhapsody (Official Video Remastered),1826685311,12811798
Hideyoshi - Majinahanashi（Official Video）,10805781,342593
Lana Del Rey - Summertime Sadness (Official Music Video),597226011,6466160
Earned It - The Weeknd (Lyrics) 🎵,20878969,168801
"Pitbull, Afrojack - Maldito Alcohol",36624415,258779
ZAYN - Still Got Time (Official Video) ft. PARTYNEXTDOOR,73793346,1023910
Hai Rama Ye Kya Hua Live by Hariharan,17387227,270427
Analyse audio song with lyrics from The Prestige movie,10786,114
Freddie Dredd - Limbo (Lyrics),10643274,129730
Sajjan Raj Vaidya - Dhairya [Official Release],42630208,363473
Mercedes Benz - Cobweb | Tuborg Open Sessions,9171763,72520
Bagaicha - Ktaharu,4221193,58923
Gerry Rafferty - Baker Street (Lyrics),2074414,22276
"Grailz Beni - It's Not So Bad (tiktok version) | "" It reminds me that it's not so bad """,3269713,80588
Brodha V - Aathma Raama [Lyric Video],11874291,0
Sam Smith - I'm Not The Only One (Lyrics),516866,5383
Imagine Dragons x J.I.D - Enemy (from the series Arcane League of Legends),406118808,5984573
Imagine Dragons - Bones (Official Music Video),335531572,3743090
"Jasiah - Crisis (Lyrics) | and i'm swervin in the streets, ay get the f outta my way",1530451,27434
Iraq Lobster (Family Guy) (Guitar Tabs),66147,2005
Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),1689678575,8567350
The Weeknd - Call Out My Name (Official Video),976316691,6723895
Passenger | Let Her Go (Official Video),3715827041,17180483
Sathi - Sushant KC (Official Lyrics Video),303368,9071
"John Denver - Take Me Home, Country Roads (Lyrics)",16877839,148695
ROCKHEADS | RANGA |,24336279,171257
Ed Sheeran - Eraser [Official Audio],62136420,378599
Purna Rai - Manaka kura,25567052,158294
Ariana Grande - I know we be so complicated (boyfriend) (Lyrics) ft. Social House,1388896,30854
Talk - Why Don't We [Official Music Video],67457866,765373
Sambodhan (Audio/Lyrics) | 1974AD,8333866,50989
Fin Argus & Sabrina Carpenter - Fix Me Up (Lyrics) (From the Disney+ Original Movie 'Clouds'),3803897,44402
Fin Argus & Sabrina Carpenter - Clouds (Lyrics) (From the Disney+ Original Movie 'Clouds'),719406,9854
Naoki Urasawa's Monster Opening | Remastered in 1080p,760538,19433
David Sylvian -  For the Love of Life (Monster Ending Theme) LYRICS,3004476,63761
Sun Rai - San Francisco Street,97375868,574445
P. Tchaikovsky - Pas de Deux ('The Nutcracker'),35306732,430150
Тёмная ночь - Temnaya Noch - (Dark Night) - Piano Version,71512,2411
Eleni Karaindrou - By The Sea ( 1998 ),4024789,73302
Alice Merton - Why So Serious (Official Video),11133861,120820
Take your trench coat- Soviet WW2 Song,2108831,89567
Tchaikovsky - Valse Sentimentale,28356667,390493
Milky Chance - Stolen Dance (Official Video),970096179,5012654
Kashmir - Surfing The Warm Industry,8636156,211351
Stuck In the Sound - Let's Go [Official Video],152108109,2234823
Sadhai Sadhai Mantra | Official Music Video,17063810,126709
Sam Smith - I'm Not The Only One (Official Music Video),1700042646,6898248
YOASOBI - Racing Into The Night Lyrics (JPN_ROM_ENG),48957395,682440
Galileo Galilei - Aoi Shiori,33757036,507110
Alice Merton - No Roots,362381443,3188739
U2 - With Or Without You (Official Music Video),166965922,1064338
Money Heist - Soundtrack (My Life is Going On) - Cecilia Krull,20330863,252731
The Killers - Mr. Brightside (Official Music Video),573840772,2953340
Eric Carmen - All by Myself (Audio),25868388,314363
The Offspring - Pretty Fly (For A White Guy) (Official Music Video),87930615,693128
"Tujhse Naraz Nahi Zindagi (Lyrics) - | Lata Mangeshkar #RIP | R.D. Burman, Gulzar | Masoom 1983",7181218,77457
blink-182 - What's My Age Again? (Official Music Video),116879819,626152
Oasis - Wonderwall (Official Video),556377738,3291529
Neil Young - Heart of Gold (Lyrics),5279138,43685
Father and Son (lyrics) - Cat Stevens,18960083,103104
Sum 41 - Pieces (Official Music Video),77310515,503682
The 100 music 3x13 - Radioactive - Koda,6635925,87644
U2 - Bad,11568549,42513
Vance Joy  - We're Going Home [Official Video],14626331,134924
Soundgarden - Black Hole Sun,267873230,1729977
Fever - Peggy Lee,54858929,405253
All Too Well / Taylor Swift (Lyrics),25207880,148053
The Coasters   Sh Boom Life Could Be A Dream,12377901,353495
Sushant KC - Yaad Ft. Brijesh Shrestha,4676018,106029
Selena Gomez - Only You (Lyric Video),65748628,1026474
ZAYN - LIKE I WOULD,87737303,1443844
The Lumineers - Ophelia,244165311,1780455
Sasha Alex Sloan - Dancing With Your Ghost (Lyric Video),252131741,2818776
PALAYE ROYALE - Punching Bag (Official Music Video),5156202,99507
Finn - In Luv with U,2518033,83848
samiian - cry on cue pls,304965,10359
"Vansire - Lonely Zone (feat. Mellow Fellow, Ruru, & Paul Cherry)",287359,7045
Vansire - That I Miss You (Official Music Video),915031,27735
Vansire - Nice To See You (feat. Floor Cry),2351135,57606
Vansire - Metamodernity,659477,15823
Nachahe ko Hoina - The Edge Band I Jeewan Gurung,10696474,63177
Sushant KC - Behos,29715342,234346
Sushant KC - Risaune Bhaye,45587373,430225
Rain Jewels feat. Lilla My - Mess,122698,2077
Rebelution - Feeling Alright,53455330,172330
Fleetwood Mac - Dreams [with lyrics],203977045,1461007
Vance Joy - Riptide (Lyrics),190773873,1856045
"Calvin Harris, Sam Smith - Promises (Official Lyric Video)",309878178,1252796
Sean Hayes - Powerful Stuff (Run Wolves Run),1871413,9765
Sublime - What I Got (Official Music Video),79467836,409577
America-A Horse With No Name Lyrics,3563683,41251
One Punch Man OST - Peaceful Days (Original),266093,4268
Neil Diamond - Sweet Caroline Lyrics,51092898,296844
Hozier - Cherry Wine,39613719,456885
Bimbaakash- Najeek [Lyrical Video],39017140,211993
Winter Aid - The Wisp Sings,22509859,297740
"benny blanco, Halsey & Khalid – Eastside (official video)",723255793,3167116
Blonde Redhead - For the Damaged Coda,50039688,1309228
Main Jahaan Rahoon (Full Audio Song) - Namastey London - Akshay Kumar - Rahat Fateh Ali Khan,184852117,1382593
Adele - Someone Like You (Official Music Video),2228734990,10819920
Harry Styles - Sign of the Times (Official Video),1282351166,8904751
Harry Styles - As It Was (Official Video),766285136,8225371
ZAYN - Tightrope (Lyrics),283618,3632
Guns N' Roses - Sweet Child O' Mine (Official Music Video),1693037771,8486953
Gnarls Barkley - Crazy (Official Video) [4K Remaster],324143123,2664952
Ｗｈａｔ　Ｗｏｕｌｄ　Ｉ　Ｄｏ　Ｉｆ　Ｙｏｕ　Ｗｅｒｅｎ＇ｔ　Ｈｅｒｅ？,9888033,378886
JVKE - this is what falling in love feels like (Lyrics),7731059,167349
Pecos & The Rooftops - This Damn Song (Official Video),73033223,338818
"Andy Grammer ""Fine By Me"" Official Video",5141871,37397
COIN - I Don't Wanna Dance (Audio),782988,10589
COIN - Talk Too Much (Video),11485976,184263
COIN - Boyfriend (Audio),896406,17265
Sunsetz - Cigarettes After Sex,41031923,444066
Cigarettes After Sex - Heavenly // lyrics,2030324,34582
Sweet - Cigarettes After Sex,53788380,510329
Affection - Cigarettes After Sex,90061631,593385
Too - I couldn't love (ft. Shiloh Dynasty),251512,6678
"Sawaar Loon Full Song (LYRICS) - Monali Thakur | Lootera | Amit Trivedi, Amitabh Bhattacharya",1864930,35114
Ruth B. - Dandelions (Lyrics),260055764,2199792
Coda - Fighting Gold Creditless FullHD,3343545,68549
Pharrell Williams - Happy (Video),1338719725,8836445
Led Zeppelin  Immigrant Song  Lyrics.,3038239,35936
Cat Stevens - Wild World (Lyrics),5827917,47178
Vance Joy - Georgia [Official Audio],10873949,59309
Jeremy Zucker - scared (Lyrics),8893548,130151
Jidenna - Classic Man ft. Roman GianArthur,80703154,710458
Eminem - Without Me (Official Music Video),2003447117,14330656
dArtagnan - Was wollen wir trinken,20974343,200893
Måneskin (Italy Eurovision 2021) “I Wanna Be Your Slave” & “Zitti E Buoni”  | Wiwi Jam at Home,59471990,1159395
Avril Lavigne - Bite Me (Official Video),33768826,879165
Eminem ft Rihanna - Love the way you lie  LYRICS,40790155,341819
Before You Exit - Silence (Official Audio),12224865,407522
Attack on Titan Season 4 - Ending Full『Shock』by Yuko Ando,22318076,288397
Attack on Titan Season 4 Part 2 - Ending Full『Ai Higuchi - Akuma no Ko』,3850260,80913
My Hero Academia Season 5 - Ending 2 Full『Uso ja Nai』by Soushi Sakiyama,1329245,20391
Oliver Tree - Life Goes On (Lyrics),3896605,56050
Eminem - Lose Yourself [HD],1373311734,9986411
Guardians of the Galaxy: Awesome Mix (Vol. 1 & Vol. 2) (Full Soundtrack),160225668,1034104
10. Rupert Holmes - Escape (The Piña Colada Song),99379769,750206
Vultures - John Mayer,4811597,17551
"Louis Tomlinson - Back to You (Official Video) ft. Bebe Rexha, Digital Farm Animals",513154568,4741256
James Bay - Let It Go,450505716,2663588
James Bay - Hold Back The River,274596125,1451399
Khalid - Saved (Audio),115114981,552299
Air on the G String - aire sobre la cuerda de sol (audio),509379,7997
Mozart - Requiem,112101157,822918
Usher - My Boo (Lyrics) ft. Alicia Keys,67915272,342888
Ruel - Hard Sometimes (Lyrics),88394,1361
Powfu - Death Bed (Lyrics) ft. beabadoobee | don't stay awake for too long,109152694,1388708
French Montana - Unforgettable ft. Swae Lee,19139428,311312
Eminem ft. Rihanna - The Monster (Explicit) [Official Video],944842178,6005495
MKTO - Classic (Official Video),239857264,2206031
Meghan Trainor Ft John Legend Like I'm Gonna Lose You Lyrics,55482750,413426
Shiloh Dynasty Relax Music With Rain 1 Hour,9977885,217466
Active Child - Cruel Word lyrics,84063,1916
Marshmello - Silence (Lyrics) ft. Khalid,84737896,649733
Hot Chelle Rae - Tonight Tonight (Official Video),62741957,602818
Tokyo Revengers - Opening Full『Cry Baby』by Official HIGE DANdism,13061798,230638
Jujutsu Kaisen - Opening Full『Kaikai Kitan』by Eve,40418727,543682
Sasuke's Revolution Theme - Junkyousha,17540928,129539
"Shawn Mendes, Justin Bieber - Monster",221776885,4198171
Dean Lewis - Waves (Official Video),178969641,1394457
Snow Patrol - Chasing Cars (Official Video),367926737,2238245
Apocalypse - Cigarettes After Sex,246907557,2602082
